"","AOS60","species","lon.b","lat.b","lon.w","lat.w","dst.km","area.b","area.w","area.r","area.p","Common.Name","Scientific.Name","group","order","family","taxonomic.notes","Canada","USA","Mexico","C.America","Mig.Status","Introduced","Nonbreeding.only","PS.g","PS.g_s","PS.g_com","Global.Pop.Size","Global.Pop.Size.","Pop.Size_US.Ca","Pop.Size_US.Ca.","PopYr","Pop.Size_US.Ca_s","Pop.Size_US.Ca_com","X.GL_WH","X.WH_US.Ca","X..Breeding.Pop.in.US...Canada","X..Breeding.Pop.in.US...Canada.","X.Pop_s","BD.g","BD.area","BD.g_s","BD.g_com","ND.g","ND.area","ND.g_s","ND.g_com","TB.c","TB.c_s","TB.c_com","TN.c","TN.c_s","TN.c_com","PT.c","PT.c_s","PT.c_com","trend....yr.","trend.source","lcl_90.CI","ucl_90.CI","lcl_67.CI","ucl_67.CI","RA","DF","pop.change","pop.change.90..lcl","pop.change.90..ucl","Half.Life","CCS.b","CCS.n","CCS.max","Continental.Importance","IUCN.Red.List.2018","Urban","Agriculture","Breeding.Biome","Nonbreeding.Biome","Primary.Breeding.Habitat","Secondary.Breeding.Habitat","Primary.Nonbreeding.Habitat","Secondary.Nonbreeding.Habitat","IOC..","Latin..BirdLife...IOC...Clements.","English","Gill.et.al.2020..IOC.World.Bird.List..v10.2.","HBW.and.BirdLife.International..2019.","eBird.Clements.Checklist.v2019","IOC.present","HBW.BL.present","Clements.present","OtLatin","OtLat2","OtEnglish","Order","Family","Genus","Species","IUCN.Red.List.category","Restricted.Range","Country.Endemic","ISL","RLM","LAT","HEM","Average.Body.Mass","F","BM","WD","SH","SV","G","PL","R","D","A","RV","C","W","SE","O","Primary.Habitat","HB","Birdlife.Forest.Dependency","DB","Primary.Diet","IN","FR","NE","SE.1","VE","FI","SC","PL.1","MS","Foraging.Layer","LayH1","LayH2","LayMn","Flock","Carn.sum","Herb.sum","Nest","SBS","H1","H2","H.Avg","Clutch..Min","Clutch.Max","Clutch.Ave","Inc1","Inc2","Fledge","Fld2","Fld2.fld1","Mig","Alt","Irreg","Disp","Known.Bird.Annual.Survival","Known.Bird.Age.at.First.Breeding","Known.Bird.Longevity","Modelled.Bird.Annual.Survival","Modelled.Bird.Age.at.first.breeding","Modelled.Bird.Longevity","Modelled.Bird.GenLength","SpcAuthority"
"1",1,"Nothocercus bonapartei",-74.93442445,5.34482369,-74.93442445,5.34482369,0,13793,13793,13793,0,"Highland Tinamou","Nothocercus bonapartei","landbird","Tinamiformes","Tinamidae","",0,0,0,1,"R",NA,NA,4,"PIF CAW 2016","","",NA,"",NA,NA,"","",NA,NA,"",NA,"",4,138446,"NatureServe","",4,138446,"NatureServe","",3,"PIF CAW 2014","cacería; ganadería; la parte de su rango en Panamá no está bien protegida",3,"PIF CAW 2014","",4,"PIF CAW 2014","hábitat bien conservado;",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,"Watch List - Yel-R","LC","","","Central and South American Highlands","Central and South American Highlands","Forests—Tropical Montane Evergreen","","Forests—Tropical Montane Evergreen","",64,"Nothocercus bonapartei","Highland Tinamou","Nothocercus bonapartei","Nothocercus bonapartei","Nothocercus bonapartei","YES","YES","YES","","","","Tinamiformes","Tinamidae","Nothocercus","bonapartei","LC","0","NO",0,"L",1,2,752.5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Forest",2,"High",2,"Fruit","2","7","","","1","","","","","G","",NA,NA,NA,3,7,"SC","G","","",NA,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.74,1.86,14.85,4.54,"Grey, 1867"
"2",2,"Tinamus major",-66.0527013,-1.53830176,-66.0527013,-1.53830176,0,767272,767272,767272,0,"Great Tinamou","Tinamus major","landbird","Tinamiformes","Tinamidae","",0,0,1,1,"R",NA,NA,2,"PIF CAW 2016","score change from 3 to 2 recommended by Central Americans in 2016","",NA,"",NA,NA,"","",NA,NA,"",NA,"",1,6608444,"Natureserve 3.0","",1,6608444,"Natureserve 3.0","",3,"MX-NSAC",".",3,"MX-NSAC","dependent on primary forest; habitat loss, hunting",4,"PIF CAW 2014","depends largely on lowland rainforests in Central America, which have been reduced by more than 50% (AP)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,"","NT","","","Neotropical","Neotropical","Forests—Tropical Lowland Evergreen","","Forests—Tropical Lowland Evergreen","",50,"Tinamus major","Great Tinamou","Tinamus major","Tinamus major","Tinamus major","YES","YES","YES","","","","Tinamiformes","Tinamidae","Tinamus","major","NT","0","NO",0,"L",1,2,1006.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Forest",1,"High",4,"Omnivore","2","4","","3","1","","","","","G","",NA,NA,NA,3,7,"SC","G","","",NA,2,12,7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.81,2.21,17.08,5.84,"(Gmelin, 1789)"
"3",3,"Crypturellus soui",-60.44825305,-4.50374668,-60.44825305,-4.50374668,0,1115122,1115122,1115122,0,"Little Tinamou","Crypturellus soui","landbird","Tinamiformes","Tinamidae","",0,0,1,1,"R",NA,NA,3,"Gomez-Panjabi.  PIF CAW 2016","zonas perturbadas, es fácil escucharlo, pero dificil de verlo (CAW);","",NA,"",NA,NA,"","",NA,NA,"",NA,"",1,9557681,"Natureserve 3.0","",1,9557681,"Natureserve 3.0","",3,"MX-NSAC","TB=3 more appropriate due to preference for second growth, edge.",3,"MX-NSAC","dependent on primary forest; habitat loss, hunting",4,"PIF CAW 2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,"","LC","","","Neotropical","Neotropical","Forests—Tropical Lowland Evergreen","","Forests—Tropical Lowland Evergreen","",76,"Crypturellus soui","Little Tinamou","Crypturellus soui","Crypturellus soui","Crypturellus soui","YES","YES","YES","","","","Tinamiformes","Tinamidae","Crypturellus","soui","LC","0","NO",0,"L",1,2,202.8,1,NA,NA,2,4,NA,NA,NA,NA,3,NA,NA,NA,NA,"","Forest",4,"Medium",5,"Omnivore","2","4","","3","T","","","1","","G","",NA,NA,NA,2,8,"SC","G","","",NA,1,4,2.5,19,NA,21,NA,21,NA,NA,NA,NA,NA,NA,"",0.79,1.9,13.96,5.08,"(Hermann, 1783)"
"4",4,"Crypturellus cinnamomeus",-93.21590351,18.41351137,-93.21590351,18.41351137,0,66141,66141,66141,0,"Thicket Tinamou","Crypturellus cinnamomeus","landbird","Tinamiformes","Tinamidae","",0,0,1,1,"R",NA,NA,4,"Gomez-Panjabi.  PIF CAW 2016","se puede encontrar en áreas perturbadas, o áreas perifericas (CAW);","",NA,"",NA,NA,"","",NA,NA,"",NA,"",3,606352,"Natureserve 3.0","",3,606352,"Natureserve 3.0","",3,"MX-NSAC","",3,"MX-NSAC","hunting, habitat loss",4,"PIF CAW 2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,"Watch List - Yel-R","LC","","","Mesoamerican Pacific Lowlands","Mesoamerican Pacific Lowlands","Forests—Tropical Dry","","Forests—Tropical Dry","",126,"Crypturellus cinnamomeus","Eastern Thicket Tinamou","Crypturellus cinnamomeus","Crypturellus cinnamomeus","Crypturellus cinnamomeus","YES","YES","YES","","","","Tinamiformes","Tinamidae","Crypturellus","cinnamomeus","LC","0","NO",0,"L",1,1,424.5,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Forest",3,"Medium",4,"Omnivore","2","4","","3","1","","","","","G","",NA,NA,NA,3,7,"SC","G","","",NA,3,7,5,16,NA,20,NA,20,NA,NA,NA,NA,NA,NA,"",0.81,2.08,16.31,5.68,"(Lesson, 1842)"
"5",5,"Crypturellus boucardi",-88.53390389,15.49567605,-88.53390389,15.49567605,0,33443,33443,33443,0,"Slaty-breasted Tinamou","Crypturellus boucardi","landbird","Tinamiformes","Tinamidae","",0,0,1,1,"R",NA,NA,5,"Gomez-Panjabi","","",NA,"",NA,NA,"","",NA,NA,"",NA,"",3,335581,"Natureserve 3.0","",3,335581,"Natureserve 3.0","",4,"MX-NSAC","",4,"MX-NSAC","dependent on primary forest; habitat loss, hunting",4,"PIF CAW 2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,16,"Watch List - Yel-R","LC","","","Gulf-Caribbean Lowlands","Gulf-Caribbean Lowlands","Forests—Tropical Lowland Evergreen","","Forests—Tropical Lowland Evergreen","",137,"Crypturellus boucardi","Slaty-breasted Tinamou","Crypturellus boucardi","Crypturellus boucardi","Crypturellus boucardi","YES","YES","YES","","","","Tinamiformes","Tinamidae","Crypturellus","boucardi","LC","0","NO",0,"L",1,1,434.8,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Forest",2,"High",4,"Omnivore","2","4","","3","1","","","","","G","",NA,NA,NA,3,7,"SC","G","","",NA,1,10,6,15,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.77,1.87,14.99,4.8,"(Sclater, 1859)"
"6",6,"Crypturellus kerriae",-77.55073977,6.95212542,-77.55073977,6.95212542,0,1897,1897,1897,0,"Choco Tinamou","Crypturellus kerriae","landbird","Tinamiformes","Tinamidae","Monotypic.",0,0,0,1,"R",NA,NA,5,"PIF CAW 2016","","",NA,"",NA,NA,"","",NA,NA,"",NA,"",5,908,"NatureServe","",5,908,"NatureServe","",3,"PIF CAW 2014","cacería; majoría de su población está en parque de Darién",3,"PIF CAW 2014","",3,"PIF CAW 2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,16,"Watch List - Yel-R","VU","","","Trans-Andean Lowlands","Trans-Andean Lowlands","Forests—Tropical Lowland Evergreen","","Forests—Tropical Lowland Evergreen","",140,"Crypturellus kerriae","Choco Tinamou","Crypturellus kerriae","Crypturellus kerriae","Crypturellus kerriae","YES","YES","YES","","","","Tinamiformes","Tinamidae","Crypturellus","kerriae","VU","1","NO",0,"L",1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Forest",1,"High",4,"Omnivore","2","4","","3","","","","1","","G","",NA,NA,NA,2,8,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.81,1.92,15.15,5.46,"(Chapman, 1915)"
"7",8,"Dendrocygna autumnalis",-61.44273199,-5.43258293,-60.57246639,-6.05566578,118,944372,929554,929554,44,"Black-bellied Whistling-Duck","Dendrocygna autumnalis","waterfowl","Anseriformes","Anatidae","",0,1,1,1,"PM",NA,NA,3,"IUCN, WPE5","Assumed 2/3 of individual estimate are breeding adults.","1,000,000",1000000,"",NA,NA,"","",100,NA,"",NA,"bbs0514(BBS), eBrd17(WHem)",1,9326631,"Natureserve","",1,9178240,"Natureserve","",3,"PIFTC-02","",3,"PIFTC-02","",1,"BBS7017","",7.357,"BBS7017",5.93,8.75,6.513,8.149,2.963,155,2712.077265,NA,NA,NA,8,8,8,"","LC","yes","w","Neotropical","Neotropical","Wetlands—Generalist","","Wetlands—Generalist","",1464,"Dendrocygna autumnalis","Black-bellied Whistling-duck","Dendrocygna autumnalis","Dendrocygna autumnalis","Dendrocygna autumnalis","YES","YES","YES","","","","Anseriformes","Anatidae","Dendrocygna","autumnalis","LC","0","NO",0,"LN",2,2,815,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,1,NA,"","Wetland",3,"Non-forest",3,"Herbivore","T","","","5","","","","5","","W-G","",NA,NA,2,0,10,"CP,CV","G,T","","",NA,12,16,13,26,31,53,63,10,1,NA,NA,NA,0.52,1,"10.58",0.41,0.9,9.94,2.36,"(Linnaeus, 1758)"
"8",10,"Dendrocygna bicolor",9.82101628,-3.80430756,10.46799781,-4.01412388,76,1866877,1856162,1856162,103,"Fulvous Whistling-Duck","Dendrocygna bicolor","waterfowl","Anseriformes","Anatidae","Monotypic.",0,1,1,1,"PM",NA,NA,3,"Birdlife International 2019","survey timing unclear; no adjustment applied","1,400,000",1400000,"120,000",120000,NA,"BNA Hohman & Lee 2001","",81.2470263,7.23670435,"5.879607",5.879607201,"bbs0514(BBS), eBrd17(WHem,Glob)",1,4305929,"Natureserve","",1,4211088,"Natureserve","",3,"PIFTC-02","",3,"PIFTC-02","",2,"MX-NSAC; PIF CAW 2014","unknown (MX-NSAC)",NA,"",NA,NA,NA,NA,NA,NA,420.2917114,154.9144394,1079.385801,NA,9,9,9,"","LC","","b,w","Neotropical","Neotropical","Wetlands—Freshwater Marsh","","Wetlands—Freshwater Marsh","Coasts—Saltmarsh",1469,"Dendrocygna bicolor","Fulvous Whistling-duck","Dendrocygna bicolor","Dendrocygna bicolor","Dendrocygna bicolor","YES","YES","YES","","","","Anseriformes","Anatidae","Dendrocygna","bicolor","LC","0","NO",0,"C",2,2,747.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,"","Wetland",2,"Non-forest",4,"Herbivore","T","1","","5","","","","4","","W","",NA,NA,2,0,10,"CV,M","T,W","","",NA,6,16,11,24,29,63,NA,63,1,NA,NA,NA,NA,1,"11.17",0.55,1.13,11.58,2.62,"(Vieillot, 1816)"
"9",11,"Anser canagicus",8.26853989,65.46163707,-21.62729614,55.98497055,1915,18675,6870,0,0,"Emperor Goose","Anser canagicus","waterfowl","Anseriformes","Anatidae","Monotypic. Formerly placed in the genus Chen.",1,1,0,0,"M",NA,NA,4,"CAFF18","spring count, no adjustment applied","98,000",98000,"98,000",98000,2014,"CAFF18","",40,NA,"",NA,"eBrd17(UsCa,WHem), PIF(Glob)",5,36353,"Natureserve, with Old World extrapolation","",4,269964,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC","",3,"TrUST 2016","less adaptable than other geese species (TrUST 2016)",3,"TrUST 2016","wintering on aleutian island chain, potentially susceptible to climate change (sea level rise); specialized on sensitive habitats; herbivores in intertidal zone (TrUST 2016)",2,"CAFF8515","",0.4,"CAFF8515",0.26,0.54,NA,NA,NA,NA,12.664907,8.0530854,18.0736493,NA,14,13,14,"Watch List - Yel-R","NT","","","Arctic","Pacific North America","Coasts—Saltmarsh","","Coasts—Marine Waters","Coasts—Rocky Intertidal",1505,"Anser canagicus","Emperor Goose","Anser canagicus","Anser canagicus","Anser canagicus","YES","YES","YES","Anser canagica","","","Anseriformes","Anatidae","Anser","canagicus","NT","0","NO",0,"NP",3,1,2446.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,"","Coastal",2,"Non-forest",3,"Plant","1","3","","","","","","6","","G-W","",NA,NA,NA,1,9,"SC","G","","",NA,1,8,NA,24,25,50,60,10,1,NA,NA,NA,0.72,1.99,"20.25",0.77,2.61,25.5,8.01,"(Sevastianov, 1802)"
"10",12,"Anser caerulescens",-90.28929418,72.40640429,-96.83123881,35.09774786,4169,58204,176326,0,707542,"Snow Goose","Anser caerulescens","waterfowl","Anseriformes","Anatidae","Formerly placed in the genus Chen.",1,1,1,1,"M",NA,NA,2,"CAFF18, eBrd17(UsCa,WHem), PIF(Glob)","extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed","16,000,000",16000000,"15,000,000",15000000,2014,"CAFF18","",95,99.89490509,"94.90016",94.90016174,"eBrd17(UsCa,WHem), PIF(Glob)",3,534961,"Natureserve, with Old World extrapolation","",2,1760923,"Natureserve","",2,"TrUST 2016","Increasing substantially on breeding grounds and significantly altering the landscape; habitat effects unpredictable, but SNGO could be its own greatest threat (TrUST 2016).",2,"TrUST 2016","",1,"CAFF7514","Alisauskas et al. 2011 (1971-06) also supports PT = 1",6.052227727,"CAFF7514",5.912227727,6.192227727,NA,NA,NA,NA,886.5697873,842.0866104,931.8113113,NA,8,7,8,"","LC","","w","Arctic","Nearctic","Wetlands—Tundra","Tundra—Arctic","Wetlands—Generalist","",1507,"Anser caerulescens","Snow Goose","Anser caerulescens","Anser caerulescens","Anser caerulescens","YES","YES","YES","Anser caerulescens","","","Anseriformes","Anatidae","Anser","caerulescens","LC","0","NO",0,"N",4,1,3157.5,NA,NA,NA,NA,NA,1,NA,NA,NA,3,5,4,2,NA,"","Grassland",5,"Non-forest",2,"Plant","","","","T","","","","10","","G-W","",NA,NA,NA,0,10,"SC","G","","",NA,1,6,NA,23,25,40,50,10,1,NA,NA,NA,0.82,2,"26.59",0.79,2.82,28,8.76,"(Linnaeus, 1758)"
"11",13,"Anser rossii",-94.9129021,62.03359298,-107.04621803,33.38351463,3300,21614,69432,0,198897,"Ross's Goose","Anser rossii","waterfowl","Anseriformes","Anatidae","Formerly placed in the genus Chen.",1,1,1,0,"M",NA,NA,3,"CAFF18","","2,100,000",2100000,"1,600,000",1600000,2014,"CAFF18","Shaw 2020: applied 2/3 rule to convert non-breeding season survey estimate to breeding adults",99.57162775,100,"99.57162",99.57162476,"eBrd17(UsCa,WHem,Glob)",4,214858,"Natureserve","",3,694586,"Natureserve","",2,"TrUST 2016","",2,"TrUST 2016","Same threats as SNGO in Central Valley; no reason to score differently than SNGO (TrUST 2016).",1,"CAFF7514","Shaw 2020: CBC supports this score as well with similar trend",11.7,"CAFF7514",11.56,11.84,NA,NA,NA,NA,7348.790443,6949.191593,7681.14687,NA,10,9,10,"","LC","","w","Arctic","Nearctic","Wetlands—Tundra","Tundra—Arctic","Wetlands—Generalist","",1506,"Anser rossii","Ross's Goose","Anser rossii","Anser rossii","Anser rossii","YES","YES","YES","Anser rossii","","","Anseriformes","Anatidae","Anser","rossii","LC","0","NO",0,"N",3,1,1508.5,NA,NA,NA,3,NA,NA,NA,2,NA,4,NA,NA,1,NA,"","Wetland",4,"Non-forest",3,"Plant","T","","","2","","","","8","","G-W","",NA,NA,NA,0,10,"M","G","","",NA,2,8,NA,21,22,40,45,5,1,NA,NA,NA,0.59,2.02,"22.5",0.72,2.34,22.27,6.25,"Cassin, 1861"
"12",15,"Anser albifrons",12.69884275,68.28842553,31.68353758,34.13260058,3986,589160,466425,0,1330,"Greater White-fronted Goose","Anser albifrons","waterfowl","Anseriformes","Anatidae","",1,1,1,0,"M",NA,NA,2,"CAFF18","","5,500,000",5500000,"4,300,000",4300000,2014,"CAFF18","Shaw 2020: applied 2/3 rule to convert non-breeding season surveys' estimates to breeding adults; assuming breeding season survey estimate represented adults",40,99.99998474,"45.71429",45.7142868,"CAFF18; NAWMP 2018",1,5857945,"Natureserve, with Old World extrapolation","",2,2653193,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC","",2,"TrUST 2016","",2,"TrUST 2016","In general, tolerant of human alterations of the landscape and adaptable to different crop decisions. Population on substantially increasing trajectory, although at least in Central Valley, species is dependent on rice; so decreases in water leading to less rice production may impact GWFG negatively, but hard to predict (TrUST 2016).",1,"CAFF7514","Shaw 2020: CBC supports this score as well, but more extreme annual trend (9.035%)",4.896796634,"CAFF7514",4.756796634,5.036796634,NA,NA,NA,NA,543.7771574,508.7842211,582.4358062,NA,6,7,7,"","LC","","w","Arctic","Nearctic","Wetlands—Tundra","","Wetlands—Generalist","",1524,"Anser albifrons","Greater White-fronted Goose","Anser albifrons","Anser albifrons","Anser albifrons","YES","YES","YES","","","","Anseriformes","Anatidae","Anser","albifrons","LC","0","NO",0,"NP",4,1,2587.5,NA,NA,NA,NA,NA,1,NA,NA,NA,5,3,4,2,NA,"","Grassland",5,"Non-forest",3,"Plant","","T","","4","","","","6","Naturaldietplants","G-W","",NA,NA,NA,0,10,"","G","","",NA,3,9,4.4,22,28,38,45,7,1,NA,NA,NA,0.78,3,"25.5",0.76,2.59,25.89,8.4,"(Scopoli, 1769)"
"13",20,"Branta bernicla",-22.753508,74.78563352,26.41326376,41.95342705,4391,312572,131835,0,41090,"Brant","Branta bernicla","waterfowl","Anseriformes","Anatidae","",1,1,1,0,"M",NA,NA,4,"CAFF18","","490,000",490000,"340,000",340000,2014,"CAFF18","Shaw 2020: applied 2/3 rule to convert non-breeding season surveys' estimates to breeding adults; assuming breeding season survey estimate represented adults",60,98.69537354,"56.41026",56.41025543,"WPE5; NAWMP 2018",2,1448120,"Natureserve, with Old World extrapolation","",4,131077,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC","",3,"TrUST 2016","",3,"TrUST 2016","",2,"CAFF6116","",0.203026541,"CAFF6116",0.063026541,0.343026541,NA,NA,NA,NA,9.7715149,3.0836605,16.8132626,NA,11,13,13,"","LC","","","Arctic","Nearctic","Coasts—Saltmarsh","Coasts—Tundra","Coasts—Marine Waters","Coasts—Rocky Intertidal",1482,"Branta bernicla","Brent Goose","Branta bernicla","Branta bernicla","Branta bernicla","YES","YES","YES","","","","Anseriformes","Anatidae","Branta","bernicla","LC","0","NO",0,"NP",4,1,1335,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,4,NA,"","Grassland",4,"Non-forest",3,"Plant","T","","","","","T","","10","","G-W","",NA,NA,NA,0,10,"SC","G","","",NA,1,10,4,23,29,40,45,5,1,NA,NA,NA,0.8,3,"28.67",0.84,2.85,32.28,9.91,"(Linnaeus, 1758)"
"14",22,"Branta hutchinsii",-124.77979617,66.71883432,-43.96062958,33.67005379,6220,127469,149796,0,1111539,"Cackling Goose","Branta hutchinsii","waterfowl","Anseriformes","Anatidae","",1,1,1,0,"M",NA,NA,3,"CAFF18","","4,500,000",4500000,"4,100,000",4100000,2014,"CAFF18","",100,NA,"",NA,"eBrd17(UsCa)",2,1226202,"Natureserve","",1,4215547,"Natureserve","",2,"TrUST 2016","No new input when split from Canada Goose; Lower score from 3 to 2 for breeding and nonbreeding (TrUST 2016).",2,"TrUST 2016","No new input when split from Canada Goose; Lower score from 3 to 2 for breeding and nonbreeding (TrUST 2016).",1,"CAFF7514","",6.210299032,"CAFF7514",6.070299032,6.350299032,NA,NA,NA,NA,945.6996314,905.5783393,1004.00139,NA,8,7,8,"","LC","","w","Arctic","Nearctic","Wetlands—Tundra","Coasts—Tundra","Wetlands—Generalist","",1498,"Branta hutchinsii","Cackling Goose","Branta hutchinsii","Branta hutchinsii","Branta hutchinsii","YES","YES","YES","","","","Anseriformes","Anatidae","Branta","hutchinsii","LC","0","NO",0,"NP",5,1,2015,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,3,NA,"","Artificial",3,"Non-forest",3,"Plant","","2","","1","","","","7","","G-W","",NA,NA,NA,0,10,"SC","G,R,T","","",NA,4,7,NA,24,30,40,86,46,1,NA,NA,NA,0.7,2,"25.86",0.79,2.7,30.33,9.22,""
"15",23,"Branta canadensis",-103.97698929,53.16111961,-101.43058618,39.79618351,1498,1223680,721329,446323,1,"Canada Goose","Branta canadensis","waterfowl","Anseriformes","Anatidae","",1,1,1,1,"PM",NA,NA,2,"CAFF18, eBrd17(UsCa,WHem), PIF(Glob)","extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed","7,100,000",7100000,"7,500,000",7500000,2015,"CAFF18","Shaw 2020: applied 2/3 rule to convert non-breeding season survey estimates to breeding adults; assuming breeding season surveys' estimates represented adults",98,99.98571777,"97.986",97.98600006,"eBrd17(UsCa,WHem), PIF(Glob)",1,13237382,"Natureserve, with Old World extrapolation","",1,7522561,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC","",1,"TrUST 2016","",1,"TrUST 2016","",1,"BBS7017","Mike Brasher 2018: BBS-15 trends and resulting PT scores for ABDU (2) and CAGO (1) match more closely with my understanding of the current level of concern devoted to these 2 species on the basis of the collective weight of evidence regarding their population trajectories",10.283,"BBS7017",9.59,11.03,9.871,10.715,9.236,2932,99.6179237,88.3423425,108.8393117,NA,5,5,5,"","LC","yes","w","Nearctic","Nearctic","Wetlands—Generalist","","Wetlands—Generalist","Coasts—Saltmarsh",1489,"Branta canadensis","Canada Goose","Branta canadensis","Branta canadensis","Branta canadensis","YES","YES","YES","","","","Anseriformes","Anatidae","Branta","canadensis","LC","0","NO",0,"N",4,1,3916.5,NA,NA,8,7,NA,4,6,NA,NA,2,5,3,1,NA,"","Wetland",8,"Non-forest",3,"Plant","T","2","","","","","","8","","G-W","",NA,NA,NA,0,10,"","G","","",NA,1,8,5.5,24,30,40,86,46,1,NA,NA,NA,0.78,3,"30.33",0.8,2.7,29.02,9.45,"(Linnaeus, 1758)"
"16",25,"Cygnus olor",42.84065863,49.91175299,40.0750488,44.76943456,609,491529,293352,194987,0,"Mute Swan","Cygnus olor","waterfowl","Anseriformes","Anatidae","Monotypic.",1,1,1,0,"R",1,NA,4,"WPE5, IUCN","","400,000",400000,"31,000",31000,NA,"BNA Ciaranca et al. 1997","",5,100,"7.75",7.75,"WPE5, IUCN; BNA Ciaranca et al. 1997",1,NA,"AOU; NatGeo; Natureserve","",1,NA,"AOU.NatGeo; Natureserve","",1,"TrUST 2016","",1,"TrUST 2016","",1,"BBS7017","",3.607,"BBS7017",1.43,5.52,2.345,4.691,0.252,79,490.0279509,86.3516464,1136.553157,NA,7,7,7,"","LC","yes","","Introduced","Introduced","Wetlands—Generalist","","Wetlands—Generalist","",1535,"Cygnus olor","Mute Swan","Cygnus olor","Cygnus olor","Cygnus olor","YES","YES","YES","","","","Anseriformes","Anatidae","Cygnus","olor","LC","0","NO",0,"C",3,1,10800,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,1,NA,"","Wetland",4,"Non-forest",4,"Plant","1","","","","T","","","9","","W","",NA,NA,NA,1,9,"M","Z","","",NA,5,7,5.8,31,41,120,150,30,1,NA,NA,NA,0.85,4,"28.58",0.85,3.1,28.27,9.8,"(Gmelin, 1789)"
"17",26,"Cygnus buccinator",-130.20155695,57.77163202,-121.9614669,49.85917533,1033,137555,35794,11997,0,"Trumpeter Swan","Cygnus buccinator","waterfowl","Anseriformes","Anatidae","Monotypic.",1,1,1,0,"PM",NA,NA,4,"NATSS15","","63,000",63000,"63,000",63000,2015,"NATSS15","",100,NA,"",NA,"eBrd17(UsCa)",2,1369061,"Natureserve","",3,356836,"Natureserve","",3,"TrUST 2016","All populations are increasing, so not clear what would be threatening TRUS in future. But is the species ""management-dependent?"" Recommend 3 for breeding. Not a tremendous amount of migratory movement, so also recommend dropping TN score to 3 (TrUST 2016).",3,"TrUST 2016","All populations are increasing, so not clear what would be threatening TRUS in future. But is the species ""management-dependent?"" Recommend 3 for breeding. Not a tremendous amount of migratory movement, so also recommend dropping TN score to 3 (TrUST 2016).",1,"NATS6815","Shaw 2020: CBC supports this score as well with even more extreme annual trend (8.488%)",6.6,"NATS6815",NA,NA,NA,NA,NA,NA,1662.550046,1507.454196,1865.55967,NA,10,11,11,"","LC","","w","Northern Forest","Nearctic","Wetlands—Lakes and Rivers","Wetlands—Freshwater Marsh","Wetlands—Generalist","",1536,"Cygnus buccinator","Trumpeter Swan","Cygnus buccinator","Cygnus buccinator","Cygnus buccinator","YES","YES","YES","","","","Anseriformes","Anatidae","Cygnus","buccinator","LC","0","NO",0,"N",3,1,10550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,"","Wetland",3,"Non-forest",3,"Plant","T","","","T","","","","10","","W","",NA,NA,NA,0,10,"","G","","",NA,4,11,NA,32,38,84,122,38,1,NA,NA,NA,0.84,2.99,"26.5",0.85,3.12,29.33,9.31,"Richardson, 1832"
